Start Date,End Date,Length of Lease,Lease Sizes,Country,State,State Category,Zip Code,Regions,Rentable Sqft,Usable Sqft,Structured Parking Spaces,Surface Parking Spaces,Surface Sizes,Rent Amount
2017-02-08,2027-02-07,3651,Long 3000-4999,US,MD,Other,20748,Region 2,50005.0,43483.0,0,33,Small 0-49,2587510.15
2012-02-01,2025-01-31,4748,Long 3000-4999,US,VA,Other,23060,Region 2,125000.0,125000.0,0,0,Small 0-49,1974139.12
2020-11-23,2030-11-22,3651,Long 3000-4999,US,MA,Other,02116,Region 0,19177.0,19177.0,2,0,Small 0-49,248748.39
2023-12-22,2033-12-21,3652,Long 3000-4999,US,DC,Other,20015,Region 2,45601.0,45601.0,0,21,Small 0-49,679454.9
2021-06-01,2031-05-31,3651,Long 3000-4999,US,FL,Other,33431,Region 3,6549.0,5634.0,0,6,Small 0-49,192272.2
2014-01-01,2028-12-31,5478,Very Long 5000-15000,US,MD,Other,20854,Region 2,285118.0,277622.0,0,0,Small 0-49,9500047.62
2014-01-01,2028-12-31,5478,Very Long 5000-15000,US,MD,Other,20854,Region 2,84345.0,74549.0,0,0,Small 0-49,2582956.41
2014-01-01,2028-12-31,5478,Very Long 5000-15000,US,MD,Other,20854,Region 2,209101.0,191658.0,0,0,Small 0-49,7022559.59
2020-02-25,2035-02-24,5478,Very Long 5000-15000,US,TX,TX,75201,Region 7,51630.0,51630.0,0,4,Small 0-49,936630.29
2015-11-15,2025-11-14,3652,Long 3000-4999,US,IL,IL,60606,Region 6,113730.0,102263.0,6,354,Jumbo 250-5000,3427225.06
2022-02-17,2037-02-16,5478,Very Long 5000-15000,US,MD,Other,20737,Region 2,104882.0,104882.0,0,18,Small 0-49,2097280.88
2011-10-01,2026-09-30,5478,Very Long 5000-15000,US,MD,Other,20852,Region 2,45075.0,39245.0,0,0,Small 0-49,1693035.58
2018-12-15,2033-12-14,5478,Very Long 5000-15000,US,MD,Other,20852,Region 2,347922.0,295734.0,735,20,Small 0-49,10537496.2
2012-06-01,2026-02-14,5006,Very Long 5000-15000,US,CA,CA,94104,Region 9,31679.0,31227.0,0,15,Small 0-49,532743.79
2012-06-24,2027-06-23,5477,Very Long 5000-15000,US,MD,Other,20770,Region 2,12848.0,12848.0,0,7,Small 0-49,270082.11
2023-05-01,2038-04-30,5478,Very Long 5000-15000,US,MD,Other,20815,Region 2,84391.0,79644.0,0,73,Large 50-99,1998707.87
2013-08-26,2028-08-25,5478,Very Long 5000-15000,US,MD,Other,20814,Region 2,126266.0,111254.0,3,1,Small 0-49,4840397.27
2023-08-26,2033-08-25,3652,Long 3000-4999,US,MD,Other,20814,Region 2,5918.0,5207.0,0,0,Small 0-49,202797.44
